,start_node,end_node,osmid,maxspeed,highway,surface,lanes,oneway,geometry,name,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s)
12736,8938929380,15756977,path_8938929380,,,,,,"LINESTRING (30.1790491 59.8326417, 30.1757703 59.8320722)",,,,,,,,,,
12737,8938929395,15757200,path_8938929395,,,,,,"LINESTRING (30.463464 59.895585, 30.462624 59.8956076)",,,,,,,,,,
12738,8938929451,15757548,path_8938929451,,,,,,"LINESTRING (30.4365384 59.9307239, 30.4360995 59.9299579)",,,,,,,,,,
12739,8938929452,15757553,path_8938929452,,,,,,"LINESTRING (30.4789629 59.8843683, 30.4834779 59.8844238)",,,,,,,,,,
12740,8938929480,15757690,path_8938929480,,,,,,"LINESTRING (30.3284106 59.8889665, 30.3296177 59.8888796)",,,,,,,,,,
12741,8938929556,15758147,path_8938929556,,,,,,"LINESTRING (30.3641833 59.8320284, 30.3617583 59.8309113)",,,,,,,,,,
12742,8938929647,15758548,path_8938929647,,,,,,"LINESTRING (30.398351 59.838218, 30.3976946 59.8376924)",,,,,,,,,,
12743,8938929710,15846643,path_8938929710,,,,,,"LINESTRING (30.3390724 59.8323303, 30.3403211 59.83075)",,,,,,,,,,
12744,8938929747,15846724,path_8938929747,,,,,,"LINESTRING (30.569085 59.808079, 30.5674497 59.807899)",,,,,,,,,,
12745,8938929772,15846825,path_8938929772,,,,,,"LINESTRING (30.4295804 59.7140564, 30.428543 59.7158433)",,,,,,,,,,
12746,8938929786,15846833,path_8938929786,,,,,,"LINESTRING (30.143775 59.78844, 30.1434479 59.785122)",,,,,,,,,,
12747,8938929801,15852201,path_8938929801,,,,,,"LINESTRING (30.2126974 59.8546736, 30.2091196 59.8547119)",,,,,,,,,,
12748,8938929823,16384238,path_8938929823,,,,,,"LINESTRING (30.3173893 59.8618927, 30.3172057 59.8616941)",,,,,,,,,,
12749,8938929914,16384826,path_8938929914,,,,,,"LINESTRING (30.4752052 59.9054218, 30.4700582 59.9036219)",,,,,,,,,,
12750,8938929915,16385134,path_8938929915,,,,,,"LINESTRING (30.3640866 59.8116943, 30.3647731 59.8104602)",,,,,,,,,,
12751,8938929934,16385576,path_8938929934,,,,,,"LINESTRING (30.1501912 59.8483691, 30.1498502 59.8477469)",,,,,,,,,,
12752,8938930026,16385967,path_8938930026,,,,,,"LINESTRING (30.506136 59.863388, 30.5073661 59.8600461)",,,,,,,,,,
12753,8938930028,16386135,path_8938930028,,,,,,"LINESTRING (30.4396874 59.913676, 30.4389928 59.9130761)",,,,,,,,,,
12754,8938930051,16386150,path_8938930051,,,,,,"LINESTRING (30.1462859 59.8539329, 30.1470529 59.8537083)",,,,,,,,,,
12755,8938930068,16386165,path_8938930068,,,,,,"LINESTRING (30.3908819 59.833972, 30.3921931 59.8331735)",,,,,,,,,,
12756,8938930110,16386201,path_8938930110,,,,,,"LINESTRING (30.4195896 59.8991216, 30.419037 59.8990323)",,,,,,,,,,
12757,8938930115,16386300,path_8938930115,,,,,,"LINESTRING (30.4645836 59.8655111, 30.4654959 59.8674285)",,,,,,,,,,
12758,8938930118,16386326,path_8938930118,,,,,,"LINESTRING (30.3096941 59.8410811, 30.3097383 59.8420407)",,,,,,,,,,
12759,8938930161,16386409,path_8938930161,,,,,,"LINESTRING (30.373144 59.926428, 30.3743593 59.926126)",,,,,,,,,,
12760,8938930168,16386527,path_8938930168,,,,,,"LINESTRING (30.325579 59.914317, 30.3255147 59.9131446)",,,,,,,,,,
12761,8938930211,16386579,path_8938930211,,,,,,"LINESTRING (30.517656 59.91508, 30.5170269 59.9144277)",,,,,,,,,,
12762,8938930230,16386684,path_8938930230,,,,,,"LINESTRING (30.4494077 59.8996569, 30.4490295 59.8990712)",,,,,,,,,,
12763,8938930247,16386986,path_8938930247,,,,,,"LINESTRING (30.461407 59.912521, 30.4608173 59.9121729)",,,,,,,,,,
12764,8938930284,16387034,path_8938930284,,,,,,"LINESTRING (30.5109536 59.8368319, 30.5113932 59.8379897)",,,,,,,,,,
12765,8938930307,16387743,path_8938930307,,,,,,"LINESTRING (30.2765635 59.9032739, 30.2761218 59.9060464)",,,,,,,,,,
12766,8938930355,16387834,path_8938930355,,,,,,"LINESTRING (30.585327 59.747834, 30.5839271 59.7478394)",,,,,,,,,,
12767,8938930442,16387886,path_8938930442,,,,,,"LINESTRING (30.4795504 59.9442839, 30.4782281 59.9448895)",,,,,,,,,,
12768,8938930510,16387913,path_8938930510,,,,,,"LINESTRING (30.6058099 59.7324703, 30.6066983 59.7307771)",,,,,,,,,,
12769,8938930515,16387928,path_8938930515,,,,,,"LINESTRING (30.336943 59.874048, 30.3365728 59.8731077)",,,,,,,,,,
12770,8938930517,16388362,path_8938930517,,,,,,"LINESTRING (30.2603281 59.8429797, 30.2644165 59.8438292)",,,,,,,,,,
12771,8938930518,16388384,path_8938930518,,,,,,"LINESTRING (30.3864321 59.8742396, 30.3873337 59.8740812)",,,,,,,,,,
12772,8938930566,16388385,path_8938930566,,,,,,"LINESTRING (30.1657802 59.8688356, 30.1672902 59.8688116)",,,,,,,,,,
