,id,y,x,street_count,lat,lon,geometry,highway,name,ref,zone
27957,8174731538,59.9615217,30.4710152,,59.9615217,30.4710152,POINT (30.4710152 59.9615217),,,,77
27958,8174731540,59.9599739,30.4608345,,59.9599739,30.4608345,POINT (30.4608345 59.9599739),,Минимаркет,,79
27959,8174731541,59.9598059,30.4644235,,59.9598059,30.4644235,POINT (30.4644235 59.9598059),,Минимаркет,,77
27960,8176163317,59.9671086,30.3003846,,59.9671086,30.3003846,POINT (30.3003846 59.9671086),,Арден,,86
27961,8188869829,60.0511432,30.4200808,,60.0511432,30.4200808,POINT (30.4200808 60.0511432),,Мила,,119
27962,8189804891,59.9818051,30.2095105,,59.9818051,30.2095105,POINT (30.2095105 59.9818051),,Re: Форма Military Style,,104
27963,8191055039,59.9559394,30.5965082,,59.9559394,30.5965082,POINT (30.5965082 59.9559394),,Дикси,,113
27964,8191139688,59.9964435,30.3214548,,59.9964435,30.3214548,POINT (30.3214548 59.9964435),,Дикси,,106
27965,8197325801,59.9520893,30.2330151,,59.9520893,30.2330151,POINT (30.2330151 59.9520893),,Перекрёсток,,52
27966,8206074177,59.9770069,30.6529903,,59.9770069,30.6529903,POINT (30.6529903 59.9770069),,,,0
27967,8206074179,59.9770065,30.6530303,,59.9770065,30.6530303,POINT (30.6530303 59.9770065),,,,0
27968,8206619075,59.9579034,30.47318,,59.9579034,30.47318,POINT (30.47318 59.9579034),,,,77
27969,8206619076,59.9578678,30.473218,,59.9578678,30.473218,POINT (30.473218 59.9578678),,,,77
27970,8206619077,59.9834653,30.5148382,,59.9834653,30.5148382,POINT (30.5148382 59.9834653),,,,77
27971,8206619080,60.0099512,30.5753566,,60.0099512,30.5753566,POINT (30.5753566 60.0099512),,,,111
27972,8206619081,60.0099329,30.5753169,,60.0099329,30.5753169,POINT (30.5753169 60.0099329),,,,111
27973,8206619083,60.0137011,30.5875717,,60.0137011,30.5875717,POINT (30.5875717 60.0137011),,,,111
27974,8206619084,60.0136612,30.5876109,,60.0136612,30.5876109,POINT (30.5876109 60.0136612),,,,111
27975,8206619085,60.0158793,30.5918108,,60.0158793,30.5918108,POINT (30.5918108 60.0158793),,DriveCafe,,111
27976,8206619086,60.0159031,30.5917534,,60.0159031,30.5917534,POINT (30.5917534 60.0159031),,,,111
27977,8206619091,60.0200368,30.6018129,,60.0200368,30.6018129,POINT (30.6018129 60.0200368),,Neste,,111
27978,8206619094,60.0261638,30.6158091,,60.0261638,30.6158091,POINT (30.6158091 60.0261638),,,,111
27979,8206619095,60.0261826,30.615854,,60.0261826,30.615854,POINT (30.615854 60.0261826),,,,111
27980,8206619096,60.0315604,30.6260473,,60.0315604,30.6260473,POINT (30.6260473 60.0315604),,Neste,,111
27981,8206619099,59.9914434,30.659427,,59.9914434,30.659427,POINT (30.659427 59.9914434),,Neste,,111
27982,8210513457,60.0376219,30.3606551,,60.0376219,30.3606551,POINT (30.3606551 60.0376219),,Инвитро,,57
27983,8234488230,60.0055915,30.2960963,,60.0055915,30.2960963,POINT (30.2960963 60.0055915),,Цех85,,105
27984,8237590113,59.9816239,30.3153351,,59.9816239,30.3153351,POINT (30.3153351 59.9816239),,Санкт-Петербург,,106
27985,8237591630,59.9609004,30.3344456,,59.9609004,30.3344456,POINT (30.3344456 59.9609004),,Baggins Coffee,,85
27986,8237591662,60.0558018,30.3394479,,60.0558018,30.3394479,POINT (30.3394479 60.0558018),,Таврический Банк,,60
27987,8237591663,59.9494071,30.4662855,,59.9494071,30.4662855,POINT (30.4662855 59.9494071),,Таврический Банк,,79
27988,8237591667,60.042014,30.3415558,,60.042014,30.3415558,POINT (30.3415558 60.042014),,Таврический Банк,,60
27989,8237591670,60.0298127,30.4160893,,60.0298127,30.4160893,POINT (30.4160893 60.0298127),,Таврический Банк,,67
27990,8237591671,59.9747427,30.4022545,,59.9747427,30.4022545,POINT (30.4022545 59.9747427),,Таврический Банк,,65
27991,8237591710,59.9857601,30.3023945,,59.9857601,30.3023945,POINT (30.3023945 59.9857601),,Baggins Coffee,,106
27992,8237592874,60.0147569,30.6499055,,60.0147569,30.6499055,POINT (30.6499055 60.0147569),,Всё для женщин,,111
27993,8237592876,60.011842,30.388685,,60.011842,30.388685,POINT (30.388685 60.011842),,Ваш стоматолог,,64
27994,8237592878,60.0135638,30.3880602,,60.0135638,30.3880602,POINT (30.3880602 60.0135638),,Xplace,,64
27995,8237592909,59.9828482,30.3935373,,59.9828482,30.3935373,POINT (30.3935373 59.9828482),,ForYou,,62
27996,8237607403,59.985466,30.3423554,,59.985466,30.3423554,POINT (30.3423554 59.985466),,Выпечка АМ!,,53
27997,8237607410,59.9857973,30.3017009,,59.9857973,30.3017009,POINT (30.3017009 59.9857973),,Ам!,,106
27998,8237691979,60.0899888,30.3809685,,60.0899888,30.3809685,POINT (30.3809685 60.0899888),,Lacoste,,118
27999,8237691987,59.9874679,30.3543879,,59.9874679,30.3543879,POINT (30.3543879 59.9874679),,Lacoste,,53
28000,8240291496,60.0293999,30.3303471,,60.0293999,30.3303471,POINT (30.3303471 60.0293999),,ВкусВилл,,54
28001,8251982426,59.9717188,30.4140131,,59.9717188,30.4140131,POINT (30.4140131 59.9717188),,,,75
28002,8251982427,59.9716863,30.4139821,,59.9716863,30.4139821,POINT (30.4139821 59.9716863),,,,75
28003,8251987150,59.9549384,30.4079422,,59.9549384,30.4079422,POINT (30.4079422 59.9549384),,Минимаркет,,78
28004,8252002001,60.0234625,30.4069027,,60.0234625,30.4069027,POINT (30.4069027 60.0234625),,Зерно,,64
28005,8252002004,60.0224744,30.4091847,,60.0224744,30.4091847,POINT (30.4091847 60.0224744),,GreenLight,,64
28006,8252023441,60.0827822,30.3598997,,60.0827822,30.3598997,POINT (30.3598997 60.0827822),,,,60
28007,8252023443,60.0827621,30.3600432,,60.0827621,30.3600432,POINT (30.3600432 60.0827621),,Drive,,60
28008,8252446703,60.0552353,30.4213724,,60.0552353,30.4213724,POINT (30.4213724 60.0552353),,Галерея улыбок,,119
28009,8262357351,59.9465544,30.264677,,59.9465544,30.264677,POINT (30.264677 59.9465544),,,,49
28010,8262357355,59.9475079,30.2635994,,59.9475079,30.2635994,POINT (30.2635994 59.9475079),,Универсам на Смоленке,,49
28011,8264092117,59.9522634,30.257687,,59.9522634,30.257687,POINT (30.257687 59.9522634),,Philocoffia,,52
28012,8276450376,60.1075811,30.5017255,,60.1075811,30.5017255,POINT (30.5017255 60.1075811),,,,0
28013,8276450379,60.1062022,30.4988073,,60.1062022,30.4988073,POINT (30.4988073 60.1062022),,,,0
28014,8276450385,60.1063372,30.4988649,,60.1063372,30.4988649,POINT (30.4988649 60.1063372),,Шиномонтаж,,0
28015,8276450386,60.1062135,30.4926744,,60.1062135,30.4926744,POINT (30.4926744 60.1062135),,Шиномонтаж,,0
28016,8280045051,59.9873341,30.3535158,,59.9873341,30.3535158,POINT (30.3535158 59.9873341),,Zara,,53
28017,8281469362,60.1821747,30.3249308,,60.1821747,30.3249308,POINT (30.3249308 60.1821747),,Радуга Плюс,,0
28018,8290444509,59.9555537,30.356196,,59.9555537,30.356196,POINT (30.356196 59.9555537),,Вкусно — и точка,,65
28019,8301241271,60.0576721,30.4221987,,60.0576721,30.4221987,POINT (30.4221987 60.0576721),,К.В.Б.,,119
28020,8301241274,60.0576507,30.4221912,,60.0576507,30.4221912,POINT (30.4221912 60.0576507),,Шаверма,,119
28021,8302506960,60.1932107,30.0815137,,60.1932107,30.0815137,POINT (30.0815137 60.1932107),,Хлеб & булка,,0
28022,8302838124,60.0188257,30.683606,,60.0188257,30.683606,POINT (30.683606 60.0188257),,Дикси,,111
28023,8302838125,60.0191464,30.6826982,,60.0191464,30.6826982,POINT (30.6826982 60.0191464),,Продукты,,111
28024,8308455741,59.9535069,30.4821598,,59.9535069,30.4821598,POINT (30.4821598 59.9535069),,Щедрый,,79
28025,8308960650,60.0150341,30.3866962,,60.0150341,30.3866962,POINT (30.3866962 60.0150341),,Kidster,,64
28026,8309130925,60.0136711,30.3937733,,60.0136711,30.3937733,POINT (30.3937733 60.0136711),,Вкустер,,64
28027,8309130926,59.983797,30.3535615,,59.983797,30.3535615,POINT (30.3535615 59.983797),,Вкустер,,53
28028,8309130927,59.9579928,30.2998451,,59.9579928,30.2998451,POINT (30.2998451 59.9579928),,Вкустер,,87
28029,8309132729,59.9484474,30.3597535,,59.9484474,30.3597535,POINT (30.3597535 59.9484474),,Eurospar,,97
28030,8313079517,59.9598694,30.2946183,,59.9598694,30.2946183,POINT (30.2946183 59.9598694),,Хумусия Циммес,,90
28031,8313079617,60.0337712,30.2267828,,60.0337712,30.2267828,POINT (30.2267828 60.0337712),,Челлентани,,110
28032,8316632019,59.9689378,30.3088164,,59.9689378,30.3088164,POINT (30.3088164 59.9689378),,Додо Пицца,,89
28033,8319693909,60.1101344,30.4951682,,60.1101344,30.4951682,POINT (30.4951682 60.1101344),,Норман,,0
28034,8319693910,60.1100706,30.4951454,,60.1100706,30.4951454,POINT (30.4951454 60.1100706),,Ермолино,,0
28035,8321786268,60.149844,30.5110442,,60.149844,30.5110442,POINT (30.5110442 60.149844),,Магазин № 14,,0
28036,8335573168,59.9494118,30.4143297,,59.9494118,30.4143297,POINT (30.4143297 59.9494118),,Белорусский гостинец,,78
28037,8335573171,59.9497517,30.4148709,,59.9497517,30.4148709,POINT (30.4148709 59.9497517),,Ароматный мир,,78
28038,8341220717,60.008849,30.2946945,,60.008849,30.2946945,POINT (30.2946945 60.008849),,Веранда Лаунж,,105
28039,8343115435,60.1113504,30.4999258,,60.1113504,30.4999258,POINT (30.4999258 60.1113504),,Грузинская пекарня,,0
28040,8343639813,60.2000509,30.3118815,,60.2000509,30.3118815,POINT (30.3118815 60.2000509),,,,0
28041,8343686060,60.1523861,30.2774996,,60.1523861,30.2774996,POINT (30.2774996 60.1523861),,Продукты,,0
28042,8348330263,60.1410254,30.2144278,,60.1410254,30.2144278,POINT (30.2144278 60.1410254),,Cheeky beauty studio,,0
28043,8356922414,60.0035248,30.2897301,,60.0035248,30.2897301,POINT (30.2897301 60.0035248),,Лавка Пекаря,,105
28044,8358498852,60.0232567,30.2948305,,60.0232567,30.2948305,POINT (30.2948305 60.0232567),,,,110
28045,8358498854,60.0232437,30.2948375,,60.0232437,30.2948375,POINT (30.2948375 60.0232437),,Татнефть,,110
28046,8364296683,59.9655444,30.4362855,,59.9655444,30.4362855,POINT (30.4362855 59.9655444),,Пятёрочка,,75
28047,8370809444,60.0537386,30.3277132,,60.0537386,30.3277132,POINT (30.3277132 60.0537386),,ЮниорКод,,59
28048,8370809448,59.9541825,30.5784251,,59.9541825,30.5784251,POINT (30.5784251 59.9541825),,Улыбаться - здорово!,,113
28049,8370809449,60.0622867,30.4754949,,60.0622867,30.4754949,POINT (30.4754949 60.0622867),,Альфа-Сервис,,0
28050,8370809450,60.1412452,30.2118981,,60.1412452,30.2118981,POINT (30.2118981 60.1412452),,LAB. 47,,0
28051,8370809458,59.998333,30.26905,,59.998333,30.26905,POINT (30.26905 59.998333),,Угона.нет,,103
28052,8370809459,60.006724,30.359096,,60.006724,30.359096,POINT (30.359096 60.006724),,Угона.нет,,54
28053,8370809460,60.0690217,30.2911305,,60.0690217,30.2911305,POINT (30.2911305 60.0690217),,Угона.нет,,58
