,element_type,osmid,geometry,name,amenity,landuse,shop
332,node,788355215,POINT (30.4273331 59.7237836),Сбербанк,bank,,
333,node,788355238,POINT (30.4278889 59.7244425),ЛекОптТорг,pharmacy,,
334,node,788355300,POINT (30.428819 59.7213947),ДЮК,cafe,,
335,node,788355358,POINT (30.4290055 59.7217744),Рост,,,convenience
336,node,788355371,POINT (30.4267102 59.7232506),Пушкинская аптека,pharmacy,,
337,node,788355400,POINT (30.427968 59.7242905),UNIDENT,dentist,,
338,node,788355422,POINT (30.4265928 59.7229162),Ветаптека ооо Фармакея,veterinary,,
339,node,791552655,POINT (30.2398196 59.9334398),Красное&Белое,,,alcohol
340,node,791552702,POINT (30.2368561 59.9318753),Автомаркет,,,car_parts
341,node,791552706,POINT (30.2403706 59.9321164),Старый Тбилиси,restaurant,,
342,node,791552999,POINT (30.2384676 59.9334241),Синий крест,veterinary,,
343,node,791553025,POINT (30.2371037 59.9314315),Деловая одежда,,,clothes
344,node,791553037,POINT (30.2394515 59.9323364),Дикси,,,supermarket
345,node,791553107,POINT (30.2394749 59.9328089),Библиотека №4,library,,
346,node,791716743,POINT (30.2413946 59.9317366),Лавка Пекаря,,,bakery
347,node,791716745,POINT (30.2403967 59.9310851),Лека-фарм,pharmacy,,
348,node,791716767,POINT (30.2409457 59.9309176),ellis,,,beauty
349,node,791716772,POINT (30.2412891 59.9317258),Чебуречная,fast_food,,
350,node,791716788,POINT (30.2385561 59.931189),СПб государственная академия театрального искусства,college,,
351,node,791716832,POINT (30.2411872 59.9304041),Продукты,,,convenience
352,node,791716863,POINT (30.240425 59.9309914),Бисквит,,,beauty
353,node,791716868,POINT (30.2410203 59.9307554),Кабанчик,cafe,,
354,node,792259511,POINT (30.2409123 59.9289294),Анализ крови,doctors,,
355,node,792259580,POINT (30.2419498 59.9279384),Золотая панда,restaurant,,
356,node,792259637,POINT (30.2411777 59.9293174),Аркуда,,,convenience
357,node,792259638,POINT (30.2421244 59.9276447),Магазин №66,,,convenience
358,node,792278169,POINT (30.2418454 59.9291235),Оазис,cafe,,
359,node,792278284,POINT (30.2425701 59.928314),Юридический институт,college,,
360,node,795140783,POINT (30.4132662 59.7226443),Bona Capona,cafe,,
361,node,795228148,POINT (30.582523 59.7342385),Сбербанк,bank,,
362,node,797458894,POINT (30.3152618 59.9364347),Бургер Кинг,fast_food,,
363,node,797634272,POINT (30.4061223 59.717441),Пушкин 196601,post_office,,
364,node,797634319,POINT (30.4051356 59.7171418),"Итальянский ресторан ""Фортунато""",restaurant,,
365,node,797634346,POINT (30.4056196 59.7176619),Kauffman,,,alcohol
366,node,798028608,POINT (30.2818399 59.8636787),Автостиль,,,car
367,node,798028627,POINT (30.2828736 59.8631597),Росспан,,,car
368,node,798656753,POINT (30.4091508 59.7197878),Стайл,,,beauty
369,node,798656779,POINT (30.4084638 59.7192255),Лакомка,,,bakery
370,node,798656782,POINT (30.4087318 59.719482),Хлебниковъ,cafe,,
371,node,798712533,POINT (30.4095654 59.7188345),Склад 22,restaurant,,
372,node,798751126,POINT (30.4079681 59.7188553),Гостинец,,,alcohol
373,node,799905105,POINT (30.2457933 59.930373),Шарм,,,clothes
374,node,799905107,POINT (30.2452565 59.9307536),,,,clothes
