field_1,element_type,osmid,name,amenity,landuse,shop,zone,field_1_2,start_node,end_node,osmid_2,maxspeed,lanes,highway,surface,oneway,name_2,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s),distance
"119",node,"525359705",Продукты,,,convenience,"47","16067","2406921861","1616938114",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Почтамтская улица"" ]",,,,208.304,0.208304,"3600","60",0.00347173333333334,12.49824,0.00013617603287432
"120",node,"525359854",Столовая на Почтамтской,cafe,,,"47","16067","2406921861","1616938114",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Почтамтская улица"" ]",,,,208.304,0.208304,"3600","60",0.00347173333333334,12.49824,0.000122081762782372
"121",node,"525359952",Вместе,,,convenience,"47","16067","2406921861","1616938114",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Почтамтская улица"" ]",,,,208.304,0.208304,"3600","60",0.00347173333333334,12.49824,0.000122004959579856
"122",node,"525360782",Папарацци,cafe,,,"47","16067","2406921861","1616938114",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Почтамтская улица"" ]",,,,208.304,0.208304,"3600","60",0.00347173333333334,12.49824,0.000133309151441135
"123",node,"527011738",Газпромнефть,fuel,,,"0","7529","1014941630","1038102553",,,"1","[ ""unclassified"" ]",,"0","[ ""Октябрьская улица"" ]",,,,98.219,0.098219,"1800","20",0.00491095,17.67942,0.000283174759981978
"123",node,"527011738",Газпромнефть,fuel,,,"0","7705","1038102553","1014941630",,,"1","[ ""unclassified"" ]",,"0","[ ""Октябрьская улица"" ]",,,,98.219,0.098219,"1800","20",0.00491095,17.67942,0.000283174759981978
"124",node,"548242849",Горные вершины,pharmacy,,,"23","3976","322675323","1243601663",,,"3","[ ""primary"" ]","[ ""asphalt"" ]","1","[ ""Народная улица"" ]","[ ""very_good"" ]",,,44.42,0.04442,"4000","60",0.000740333333333333,2.6652,0.000314819283811725
"127",node,"554247186",Сбербанк,bank,,,"23","15698","2359037596","2359037591",,,"2","[ ""primary_link"" ]","[ ""asphalt"" ]","1",,,,,52.38,0.05238,"3600","60",0.000873,3.1428,0.000556947027238973
"128",node,"554247393",Solo,,,clothes,"23","3625","275058614","2153538989",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,463.495,0.463495,"1800","60",0.00772491666666667,27.8097,0.00026570470620845
"129",node,"554254542",Кебаб,fast_food,,,"23","3625","275058614","2153538989",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1",,,,,463.495,0.463495,"1800","60",0.00772491666666667,27.8097,0.000171258799629085
"130",node,"560442878",Санкт-Петербург 190031,post_office,,,"42","24312","10141296183","1609206207",,,"1","[ ""residential"" ]","[ ""asphalt"" ]","1","[ ""переулок Бринько"" ]",,,,160.406,0.160406,"1800","60",0.00267343333333333,9.62436,0.000264257916366579
"138",node,"571202792",,cafe,,,"83","21038","5331770527","5331721981",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Ленсовета"" ]",,,,124.024,0.124024,"3600","60",0.00206706666666667,7.44144,0.000553541840427907
"139",node,"571202794",Пятёрочка,,,supermarket,"83","21038","5331770527","5331721981",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Ленсовета"" ]",,,,124.024,0.124024,"3600","60",0.00206706666666667,7.44144,0.000296794640088696
"140",node,"571614638",PulkoffClub,bar,,,"83","21038","5331770527","5331721981",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""улица Ленсовета"" ]",,,,124.024,0.124024,"3600","60",0.00206706666666667,7.44144,0.000293263268673749
"142",node,"575643791",Фармакор,pharmacy,,,"29","25256","10242771177","10242771179",,,"2","[ ""tertiary"" ]","[ ""asphalt"" ]","1","[ ""Искровский проспект"" ]",,,,55.006,0.055006,"3600","60",0.000916766666666667,3.30036,0.000681856152867965
