name_1,geometry
Сбербанк,"LINESTRING (30.5821012 59.7426301, 30.58169140749926 59.74281094665187)"
Пятёрочка,"LINESTRING (30.5675259 59.7480903, 30.567538674329075 59.748509869539575)"
Пятёрочка,"LINESTRING (30.5675259 59.7480903, 30.567538674329075 59.748509869539575)"
,"LINESTRING (30.5682017 59.7422337, 30.56819356818736 59.74199361669587)"
Промсвязьбанк,"LINESTRING (30.3249323 59.8436486, 30.324931613057213 59.8436522646638)"
Дикси,"LINESTRING (30.6126364 59.7470426, 30.612584018776467 59.74782402515512)"
Верный,"LINESTRING (30.5917366 59.7411197, 30.59168741129151 59.74056393861642)"
Верный,"LINESTRING (30.5917366 59.7411197, 30.59168741129151 59.74056393861642)"
Центральная районная библиотека им. М.А.Светлова,"LINESTRING (30.5828943 59.7443644, 30.582461296658703 59.744555489891546)"
Teboil,"LINESTRING (30.1253959 59.7727301, 30.12504151375982 59.77315011721301)"
,"LINESTRING (30.3274331 59.8405598, 30.32722628155768 59.84017639852716)"
Лилак,"LINESTRING (30.3286916 59.8398152, 30.32851224508184 59.83948271060005)"
Семишагофф,"LINESTRING (30.3291796 59.8397995, 30.328896811101828 59.839275263965504)"
Пятёрочка,"LINESTRING (30.3307833 59.8390122, 30.330468009242203 59.83842771179113)"
,"LINESTRING (30.3343035 59.8367764, 30.33416546303602 59.83647789666091)"
Транзит,"LINESTRING (30.3345735 59.8366331, 30.33444248947901 59.83634979126266)"
ТракTir,"LINESTRING (30.3376792 59.8350133, 30.337618146113023 59.83488127167511)"
Евразия,"LINESTRING (30.3336094 59.8371801, 30.333484566829334 59.837450461020644)"
Feromon,"LINESTRING (30.3263577 59.9364198, 30.32649795315191 59.93636270214084)"
il Konti,"LINESTRING (30.2730942 59.9329721, 30.27326313206996 59.93316732986733)"
Пятёрочка,"LINESTRING (30.2711543 59.9346832, 30.27130714679152 59.934859840580074)"
,"LINESTRING (30.3475943 59.8304692, 30.347521931139685 59.831242277155276)"
,"LINESTRING (30.3489127 59.8306121, 30.348842139098586 59.831365863714154)"
The Game of Swords,"LINESTRING (30.375482 59.9269396, 30.375529412754275 59.9270716098703)"
Mr. Toad,"LINESTRING (30.3543602 59.9253802, 30.354473170595046 59.925306827223636)"
Суши Те Вёсла,"LINESTRING (30.4578041 59.8801655, 30.457934757531817 59.87958222212641)"
Радуга,"LINESTRING (30.4567898 59.8799402, 30.456932111516902 59.87934923711112)"
Пулковский,"LINESTRING (30.3175466 59.840657, 30.31753509063557 59.84144095752798)"
Пулковский,"LINESTRING (30.3175466 59.840657, 30.31753509063557 59.84144095752798)"
Sky-Bar,"LINESTRING (30.3186584 59.922859, 30.318652310984593 59.922645174530764)"
Рим,"LINESTRING (30.3135304 59.9260768, 30.313558419680493 59.92604798898669)"
Пятёрочка,"LINESTRING (30.4235541 59.9254723, 30.423427838315593 59.92530085566756)"
Пятёрочка,"LINESTRING (30.4152703 59.9265595, 30.414966187040644 59.926236324530926)"
Озерки,"LINESTRING (30.4138723 59.9273161, 30.413847140825055 59.92728936378928)"
Гранд маркет,"LINESTRING (30.4258663 59.9255435, 30.42587457410457 59.925352898793236)"
Carl's Jr.,"LINESTRING (30.4035104 59.8637767, 30.402676598086238 59.862786056121045)"
Первая помощь,"LINESTRING (30.2675168 59.8785362, 30.267554164188994 59.87867963802063)"
,"LINESTRING (30.4309246 59.9254735, 30.431029916092847 59.925846217005436)"
Z24,"LINESTRING (30.4045391 59.939004, 30.404319324306876 59.939065400859924)"
Бриз,"LINESTRING (30.3534871 59.8535136, 30.353532612605132 59.852987640493296)"
Buona Cucina,"LINESTRING (30.2567395 59.8522938, 30.25673910358285 59.85193948801645)"
Кожно-венерологический диспансер №8,"LINESTRING (30.4062835 59.9339735, 30.40626891496264 59.93381349216344)"
Толстый фраер,"LINESTRING (30.3283454 59.9335356, 30.328443197311223 59.93341317269252)"
Автосалон LandRover,"LINESTRING (30.3245654 59.8216573, 30.324562021052003 59.82212922640372)"
Автосалон LandRover,"LINESTRING (30.3245654 59.8216573, 30.324562021052003 59.82212922640372)"
Автосалон Jaguar,"LINESTRING (30.3245914 59.8213461, 30.32458579167113 59.82212939659908)"
Автосалон Jaguar,"LINESTRING (30.3245914 59.8213461, 30.32458579167113 59.82212939659908)"
Венера,"LINESTRING (30.3992868 59.8284075, 30.3993508401198 59.82810470617081)"
Петербургские аптеки,"LINESTRING (30.3992426 59.8287798, 30.399383901732296 59.82811169861723)"
Вкус Пива,"LINESTRING (30.399494 59.8290894, 30.399687213835396 59.82817584835064)"
Продукты,"LINESTRING (30.3990923 59.8283469, 30.399152399840254 59.828062736559644)"
Айс-Град,"LINESTRING (30.4382077 59.88379, 30.43816910392452 59.88423743274582)"
Дикси,"LINESTRING (30.4084304 59.8448614, 30.4077641975591 59.844183068037815)"
Толстый фраер,"LINESTRING (30.3476907 59.9381167, 30.347690393945488 59.938245795494375)"
Библиотека-филиал №2 «Юбилейная» ЦБС Московского района,"LINESTRING (30.3262722 59.8412964, 30.326019261959534 59.840827501694)"
