geometry,element_type,osmid,name,amenity,landuse,shop,zone,field_1_2,start_node,end_node,osmid_2,maxspeed,lanes,highway,surface,oneway,name_2,smoothness,living_street,service,length (m),length (km),capacity (veh/h),maxspeed (km/h),flow_time (h),flow_time (s),distance
"LINESTRING (30.3506741 59.9190975, 30.35058328440797 59.91932575532575)",node,446064741,Branch garage,pub,,,100.0,13880,1834821167,1923946013,,,2,"[ ""residential"" ]","[ ""asphalt"" ]",1,"[ ""улица Печатника Григорьева"" ]",,,,221.677,0.221677,3600,60,0.0036946166666666,13.30062,0.0002456582290282
"LINESTRING (30.3455293 59.9177746, 30.345753270750677 59.917635245413905)",node,446064745,Магнит,,,supermarket,100.0,13715,1832097212,8087585,,,3,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""Боровая улица"" ]",,,,104.526,0.104526,4000,60,0.0017421,6.27156,0.0002637851357173
"LINESTRING (30.4177382 59.7188521, 30.417950591813938 59.71857194353626)",node,448494839,Вера,,,convenience,10.0,1630,22347621,18476902,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""Госпитальная улица"" ]",,,,157.137,0.157137,3600,60,0.00261895,9.42822,0.0003515649681104
"LINESTRING (30.4186712 59.7189639, 30.418596892303917 59.719061915930915)",node,448497709,,pharmacy,,,10.0,1630,22347621,18476902,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""Госпитальная улица"" ]",,,,157.137,0.157137,3600,60,0.00261895,9.42822,0.0001229990097943
"LINESTRING (30.5713301 59.8068048, 30.571468833651814 59.806598472729966)",node,449631957,Сбербанк,bank,,,3.0,4581,431288753,271960093,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Центральная улица"" ]",,,,181.974,0.181974,1800,60,0.0030329,10.91844,0.0002486321952314
"LINESTRING (30.2721628 59.9001486, 30.27240336859157 59.89926398995824)",node,451568012,Вкусно — и точка,fast_food,,,74.0,8228,1181584037,106091888,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Промышленная улица"" ]","[ ""excellent"" ]",,,203.772,0.203772,1800,60,0.0033962,12.22632,0.0009167377886992
"LINESTRING (30.2721628 59.9001486, 30.27240336859157 59.89926398995824)",node,451568012,Вкусно — и точка,fast_food,,,74.0,2211,106091888,1181584037,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Промышленная улица"" ]","[ ""excellent"" ]",,,203.772,0.203772,1800,60,0.0033962,12.22632,0.0009167377886992
"LINESTRING (30.3211694 59.9320764, 30.32097167474516 59.93240163942616)",node,455274074,Старгород,restaurant,,,102.0,11506,1587451440,2277216493,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""Казанская улица"" ]",,,,384.037,0.384037,1800,60,0.0064006166666666,23.04222,0.0003806257489065
"LINESTRING (30.3726265 59.930545, 30.372587020995073 59.930427142949625)",node,455297491,Тара Бруч,pub,,,97.0,20333,5002065979,5002065982,,,3,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""2-я Советская улица"" ]",,,,19.067,0.019067,4000,60,0.0003177833333333,1.14402,0.0001242935080904
"LINESTRING (30.3608089 59.9398867, 30.360511468142814 59.93990516373646)",node,455298814,Foggy New,pub,,,97.0,1255,21729806,21729801,,,4,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""улица Восстания"" ]","[ ""very_good"" ]",,,83.87,0.08387,1800,60,0.0013978333333333,5.0322,0.0002980043946525
"LINESTRING (30.3608089 59.9398867, 30.360511468142814 59.93990516373646)",node,455298814,Foggy New,pub,,,97.0,1252,21729801,21729806,,,4,"[ ""tertiary"" ]","[ ""asphalt"" ]",0,"[ ""улица Восстания"" ]","[ ""very_good"" ]",,,83.87,0.08387,1800,60,0.0013978333333333,5.0322,0.0002980043946525
"LINESTRING (30.3601032 59.9374253, 30.360101640605457 59.937311811212275)",node,455299275,Хлебник,,,bakery,101.0,1235,21729430,332684,,,2,"[ ""residential"" ]","[ ""asphalt"" ]",0,"[ ""Ковенский переулок"" ]",,,,291.588,0.291588,1800,60,0.0048598,17.49528,0.0001134995006631
"LINESTRING (30.3601032 59.9374253, 30.360101640605457 59.937311811212275)",node,455299275,Хлебник,,,bakery,101.0,608,332684,21729430,,,2,"[ ""residential"" ]","[ ""asphalt"" ]",0,"[ ""Ковенский переулок"" ]",,,,291.588,0.291588,1800,60,0.0048598,17.49528,0.0001134995006631
"LINESTRING (30.32492 59.9328715, 30.324914961159557 59.932884427963714)",node,455314487,Тарелка,fast_food,,,102.0,4504,421265061,2277216489,,,2,"[ ""residential"" ]","[ ""asphalt"" ]",1,"[ ""набережная канала Грибоедова"" ]",,,,454.6,0.4546,3600,60,0.0075766666666666,27.276,1.38752354521012e-05
"LINESTRING (30.2382299 59.8405961, 30.238071452193225 59.840330097276194)",node,459794831,Первая помощь,pharmacy,,,70.0,17701,3536076895,2380849650,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""улица Лёни Голикова"" ]",,,,96.286,0.096286,3600,60,0.0016047666666666,5.77716,0.0003096177587666
"LINESTRING (30.2290658 59.8435617, 30.23093445313272 59.84576922500222)",node,459796018,Первая помощь,pharmacy,,,70.0,15881,2380849688,2380849685,,,2,"[ ""tertiary"" ]","[ ""asphalt"" ]",1,"[ ""улица Лёни Голикова"" ]",,,,82.067,0.082067,3600,60,0.0013677833333333,4.92402,0.0028922363606456
"LINESTRING (30.2445481 59.8466839, 30.244768977138705 59.847070579925266)",node,459809259,Перекрёсток,,,supermarket,70.0,18791,3818353831,3818353829,,,2,"[ ""primary"" ]","[ ""asphalt"" ]",1,"[ ""Дачный проспект"" ]",,,,11.283,0.011283,3600,60,0.00018805,0.67698,0.0004453179482172
"LINESTRING (30.2361453 59.8398334, 30.236275387284913 59.83946710816322)",node,459964645,Мини Лента,,,convenience,70.0,17693,3536076789,3536076781,,,2,"[ ""secondary"" ]","[ ""asphalt"" ]",1,"[ ""проспект Ветеранов"" ]",,,,481.78,0.48178,3600,60,0.0080296666666666,28.9068,0.0003887060732612
